Job Title,Annual Mean,PRSE
All Occupations,"62,870",0.6
Management Occupations,"161,960",0.7
Chief Executives,"248,670",2
General and Operations Managers,"166,470",0.9
Legislators,"63,050",4.9
Advertising and Promotions Managers,"174,680",2.4
Marketing Managers,"192,460",1.1
Sales Managers,"195,060",1.2
Public Relations and Fundraising Managers,"173,290",2.4
Administrative Services Managers,"137,870",0.8
Computer and Information Systems Managers,"194,350",1.6
Financial Managers,"204,070",1.3
Industrial Production Managers,"138,620",1.4
Purchasing Managers,"158,210",1.5
"Transportation, Storage, and Distribution Managers","121,480",1.2
Compensation and Benefits Managers,"164,300",3.3
Human Resources Managers,"154,250",2.9
Training and Development Managers,"152,220",1.4
"Farmers, Ranchers, and Other Agricultural Managers","77,940",9.3
Construction Managers,"132,520",2.3
"Education Administrators, Preschool and Childcare Center/Program","72,720",3.7
"Education Administrators, Elementary and Secondary School","132,860",2.4
"Education Administrators, Postsecondary","125,390",2.3
"Education Administrators, All Other","103,330",3.1
Architectural and Engineering Managers,"166,540",1.4
Food Service Managers,"78,450",2
Funeral Service Managers,"130,280",14.8
Lodging Managers,"87,750",4.1
Medical and Health Services Managers,"138,190",1.6
Natural Sciences Managers,"180,990",2.7
Postmasters and Mail Superintendents,"81,280",0.9
"Property, Real Estate, and Community Association Managers","106,010",3.3
Social and Community Service Managers,"91,690",1.1
Emergency Management Directors,"111,320",3.1
"Managers, All Other","140,450",1.3
Business and Financial Operations Occupations,"97,410",0.9
"Agents and Business Managers of Artists, Performers, and Athletes","102,040",7.6
Buyers and Purchasing Agents,"77,640",1.2
"Claims Adjusters, Examiners, and Investigators","73,270",1.5
"Insurance Appraisers, Auto Damage","68,550",3.8
Compliance Officers,"81,470",0.9
Cost Estimators,"78,070",2
Human Resources Specialists,"78,760",1.1
Labor Relations Specialists,"87,160",5.2
Logisticians,"84,250",1.2
Management Analysts,"115,530",1.9
"Meeting, Convention, and Event Planners","67,010",3.7
Fundraisers,"67,490",2.3
"Compensation, Benefits, and Job Analysis Specialists","80,820",1.3
Training and Development Specialists,"73,580",1.8
Market Research Analysts and Marketing Specialists,"81,630",1
"Business Operations Specialists, All Other","81,370",0.8
Accountants and Auditors,"99,140",1.3
Appraisers and Assessors of Real Estate,"77,670",6.6
Budget Analysts,"83,170",1.3
Credit Analysts,"118,610",2.5
Financial Analysts,"135,110",2.1
Personal Financial Advisors,"163,710",2.7
Insurance Underwriters,"101,320",3.4
Financial Examiners,"118,190",3
Credit Counselors,"59,150",1.7
Loan Officers,"112,860",4.4
"Tax Examiners and Collectors, and Revenue Agents","76,250",0.9
Tax Preparers,"56,550",8.6
"Financial Specialists, All Other","96,730",2.7
Computer and Mathematical Occupations,"102,610",0.8
Computer and Information Research Scientists,"135,030",2.8
Computer Systems Analysts,"111,010",1.4
Information Security Analysts,"125,570",1.5
Computer Programmers,"94,970",2.1
"Software Developers, Applications","116,260",1.1
"Software Developers, Systems Software","120,380",1.1
Web Developers,"84,910",1.7
Database Administrators,"102,120",1.2
Network and Computer Systems Administrators,"100,750",0.8
Computer Network Architects,"121,400",3.1
Computer User Support Specialists,"63,310",1.1
Computer Network Support Specialists,"82,620",1.4
"Computer Occupations, All Other","99,100",4
Actuaries,"142,510",4.9
Mathematicians,"101,340",4.2
Operations Research Analysts,"107,770",2.5
Statisticians,"108,930",2.7
Miscellaneous Mathematical Science Occupations,"107,730",9.8
Architecture and Engineering Occupations,"91,520",1
"Architects, Except Landscape and Naval","100,860",4
Landscape Architects,"78,720",5.4
Cartographers and Photogrammetrists,"71,390",10.4
Surveyors,"74,180",3.8
Aerospace Engineers,"106,370",4.3
Biomedical Engineers,"107,220",3.9
Chemical Engineers,"101,250",2.4
Civil Engineers,"100,850",1.4
Computer Hardware Engineers,"113,880",2.6
Electrical Engineers,"105,700",1.4
"Electronics Engineers, Except Computer","105,030",1.6
Environmental Engineers,"96,390",2.4
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","99,500",2.9
Industrial Engineers,"100,100",4.7
Materials Engineers,"98,250",2.5
Mechanical Engineers,"95,360",1.3
"Mining and Geological Engineers, Including Mining Safety Engineers","90,350",3
Nuclear Engineers,"120,990",2.5
Petroleum Engineers,"193,950",6.4
"Engineers, All Other","105,450",1.9
Architectural and Civil Drafters,"57,820",1.8
Electrical and Electronics Drafters,"69,420",7.5
Mechanical Drafters,"66,000",3.6
"Drafters, All Other","64,730",3.8
Aerospace Engineering and Operations Technicians,"61,970",2.2
Civil Engineering Technicians,*,*
Electrical and Electronics Engineering Technicians,"70,020",1.4
Electro-Mechanical Technicians,"64,710",6.5
Environmental Engineering Technicians,"60,670",5
Industrial Engineering Technicians,"59,860",2.9
Mechanical Engineering Technicians,"61,750",4.8
"Engineering Technicians, Except Drafters, All Other","69,030",2.9
Surveying and Mapping Technicians,"54,670",3
"Life, Physical, and Social Science Occupations","87,460",2.8
Food Scientists and Technologists,"79,340",4.7
Soil and Plant Scientists,"70,380",6.4
Biochemists and Biophysicists,"139,550",7.9
Microbiologists,"76,880",2.7
Zoologists and Wildlife Biologists,"76,230",2.1
"Biological Scientists, All Other","87,390",1.9
Conservation Scientists,*,*
Foresters,"67,340",4.6
Epidemiologists,"92,650",5.4
"Medical Scientists, Except Epidemiologists","101,320",4.3
"Life Scientists, All Other","87,460",7.3
Physicists,"141,810",6.3
Atmospheric and Space Scientists,"101,710",4.8
Chemists,"88,700",2
Materials Scientists,"104,120",3.8
"Environmental Scientists and Specialists, Including Health","86,580",2.8
"Geoscientists, Except Hydrologists and Geographers","81,040",4.1
Hydrologists,"85,200",3.6
"Physical Scientists, All Other","97,770",2.7
Economists,"138,200",3.9
Survey Researchers,"61,640",3.2
"Clinical, Counseling, and School Psychologists","96,790",2.8
"Psychologists, All Other","99,750",2
Sociologists,"72,620",7.8
Urban and Regional Planners,"82,020",3.8
Anthropologists and Archeologists,"69,850",10
Historians,"65,200",3.9
Political Scientists,"121,800",3.2
"Social Scientists and Related Workers, All Other","84,910",2.5
Agricultural and Food Science Technicians,"55,720",6.8
Biological Technicians,"50,900",1.8
Chemical Technicians,"61,580",7.4
Geological and Petroleum Technicians,"69,550",13.8
Nuclear Technicians,"110,790",3
Social Science Research Assistants,"57,650",2.1
"Environmental Science and Protection Technicians, Including Health","56,090",2.8
Forensic Science Technicians,"68,110",1.8
Forest and Conservation Technicians,"35,590",6.1
"Life, Physical, and Social Science Technicians, All Other","57,320",2.4
Community and Social Service Occupations,"54,830",1.4
"Educational, Guidance, School, and Vocational Counselors","72,200",3.3
Marriage and Family Therapists,"68,910",2.4
Rehabilitation Counselors,"41,010",2.9
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","52,960",1.7
"Counselors, All Other","59,300",3.3
"Child, Family, and School Social Workers","60,330",3
Healthcare Social Workers,"64,530",1.2
Mental Health and Substance Abuse Social Workers,"64,630",3.1
"Social Workers, All Other","68,990",1.6
Health Educators,"58,380",3.9
Probation Officers and Correctional Treatment Specialists,"74,550",1.2
Social and Human Service Assistants,"36,600",1.1
Community Health Workers,"47,180",3.2
"Community and Social Service Specialists, All Other","54,970",2.3
Clergy,"56,630",4.6
"Directors, Religious Activities and Education","45,950",5.9
"Religious Workers, All Other","33,500",9.9
Legal Occupations,"137,610",2.3
Lawyers,"170,530",2.3
Judicial Law Clerks,"67,640",1.9
"Administrative Law Judges, Adjudicators, and Hearing Officers","98,960",1.6
"Arbitrators, Mediators, and Conciliators","86,980",6.2
"Judges, Magistrate Judges, and Magistrates","157,770",1.4
Paralegals and Legal Assistants,"61,110",1.7
Court Reporters,"83,220",5.1
"Title Examiners, Abstractors, and Searchers","54,370",4.3
"Legal Support Workers, All Other","64,530",4.8
"Education, Training, and Library Occupations","68,140",1.6
"Business Teachers, Postsecondary","110,210",4.7
"Computer Science Teachers, Postsecondary","105,490",2.6
"Mathematical Science Teachers, Postsecondary","105,300",3.6
"Architecture Teachers, Postsecondary","123,760",10.9
"Engineering Teachers, Postsecondary","125,470",3.9
"Agricultural Sciences Teachers, Postsecondary","84,780",3.8
"Biological Science Teachers, Postsecondary","100,650",3.6
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","107,520",3
"Chemistry Teachers, Postsecondary","105,650",2.5
"Environmental Science Teachers, Postsecondary","106,470",4.3
"Physics Teachers, Postsecondary","115,170",2.8
"Anthropology and Archeology Teachers, Postsecondary","119,000",4.1
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","103,110",7.4
"Economics Teachers, Postsecondary","126,390",5.4
"Geography Teachers, Postsecondary","95,700",10.6
"Political Science Teachers, Postsecondary","117,170",9.1
"Psychology Teachers, Postsecondary","101,870",4.2
"Sociology Teachers, Postsecondary","94,070",4.2
"Social Sciences Teachers, Postsecondary, All Other","105,690",3.2
"Health Specialties Teachers, Postsecondary","119,350",3.1
"Nursing Instructors and Teachers, Postsecondary","102,030",2
"Education Teachers, Postsecondary","90,630",4.9
"Library Science Teachers, Postsecondary","81,660",1.8
"Criminal Justice and Law Enforcement Teachers, Postsecondary","68,900",7.6
"Law Teachers, Postsecondary","136,640",7.4
"Social Work Teachers, Postsecondary","91,960",6.3
"Art, Drama, and Music Teachers, Postsecondary","96,430",4.8
"Communications Teachers, Postsecondary","93,740",4.9
"English Language and Literature Teachers, Postsecondary","93,840",2.9
"Foreign Language and Literature Teachers, Postsecondary","91,280",3.4
"History Teachers, Postsecondary","94,050",3.1
"Philosophy and Religion Teachers, Postsecondary","83,520",2.9
Graduate Teaching Assistants,"40,680",5.2
"Recreation and Fitness Studies Teachers, Postsecondary","89,400",4.5
"Vocational Education Teachers, Postsecondary","65,210",3.1
"Preschool Teachers, Except Special Education","45,930",9.6
"Kindergarten Teachers, Except Special Education","77,520",2
"Elementary School Teachers, Except Special Education","81,760",1.9
"Middle School Teachers, Except Special and Career/Technical Education","81,360",1.3
"Career/Technical Education Teachers, Middle School","85,110",4.9
"Secondary School Teachers, Except Special and Career/Technical Education","87,260",1.8
"Career/Technical Education Teachers, Secondary School","77,120",4.9
"Special Education Teachers, Preschool","78,860",8.2
"Special Education Teachers, Kindergarten and Elementary School","76,820",1.7
"Special Education Teachers, Middle School","79,370",1.5
"Special Education Teachers, Secondary School","88,450",3.2
"Special Education Teachers, All Other","83,790",7.5
Adult Basic and Secondary Education and Literacy Teachers and Instructors,"73,430",4.3
Self-Enrichment Education Teachers,"59,770",2.9
"Teachers and Instructors, All Other, Except Substitute Teachers","52,330",4.7
Substitute Teachers,"38,030",8.7
Archivists,"55,520",3
Curators,"79,790",3.5
Museum Technicians and Conservators,"61,560",4
Librarians,"70,550",0.9
Library Technicians,"35,840",1.9
Audio-Visual and Multimedia Collections Specialists,"66,600",3.8
Farm and Home Management Advisors,"58,190",11.9
Instructional Coordinators,"73,490",3
Teacher Assistants,"30,350",1.4
"Education, Training, and Library Workers, All Other","53,020",5.9
"Arts, Design, Entertainment, Sports, and Media Occupations","79,220",1.2
Art Directors,"126,760",1.3
Craft Artists,"58,810",7.1
"Fine Artists, Including Painters, Sculptors, and Illustrators","70,320",6.4
Multimedia Artists and Animators,"80,550",4.7
"Artists and Related Workers, All Other","75,370",8.8
Commercial and Industrial Designers,"78,440",6.4
Fashion Designers,"88,580",2.6
Floral Designers,"33,990",6.1
Graphic Designers,"65,970",1.6
Interior Designers,"65,180",3.7
Merchandise Displayers and Window Trimmers,"34,840",2.6
Set and Exhibit Designers,"77,690",3.5
"Designers, All Other","73,110",5.6
Actors,*,*
Producers and Directors,"119,280",2.5
Athletes and Sports Competitors,"95,340",14.6
Coaches and Scouts,"56,870",4.3
"Umpires, Referees, and Other Sports Officials",*,*
Dancers,*,14.1
Choreographers,"88,570",11.6
Music Directors and Composers,"91,760",10.3
Musicians and Singers,*,7.5
"Entertainers and Performers, Sports and Related Workers, All Other",*,8.5
Radio and Television Announcers,"87,450",12.8
Public Address System and Other Announcers,"50,690",12.3
Broadcast News Analysts,"85,890",10.8
Reporters and Correspondents,"75,920",5.4
Public Relations Specialists,"74,640",1.8
Editors,"83,380",1.5
Technical Writers,"82,610",3.7
Writers and Authors,"88,230",2.5
Interpreters and Translators,"73,710",3.7
"Media and Communication Workers, All Other","57,150",6
Audio and Video Equipment Technicians,"55,730",2
Broadcast Technicians,"59,560",4
Radio Operators,"68,210",2.8
Sound Engineering Technicians,"77,850",3.9
Photographers,"50,620",6.3
"Camera Operators, Television, Video, and Motion Picture","83,800",4.1
Film and Video Editors,"85,080",3.1
"Media and Communication Equipment Workers, All Other","61,580",6.9
Healthcare Practitioners and Technical Occupations,"96,640",0.9
"Dentists, General","164,610",5
Oral and Maxillofacial Surgeons,"270,190",9.7
Orthodontists,"239,770",11.8
"Dentists, All Other Specialists","195,720",15.1
Dietitians and Nutritionists,"68,520",0.9
Optometrists,"116,260",2.9
Pharmacists,"118,120",1.6
Anesthesiologists,"263,530",8.7
Family and General Practitioners,"201,160",3.6
"Internists, General","196,770",7.2
Obstetricians and Gynecologists,"222,050",3.5
"Pediatricians, General","176,860",3
Psychiatrists,"208,970",4.6
Surgeons,"260,290",4
"Physicians and Surgeons, All Other","179,130",3.2
Physician Assistants,"115,800",0.8
Podiatrists,"158,280",5.9
Occupational Therapists,"95,210",1.8
Physical Therapists,"92,440",1.2
Radiation Therapists,"106,220",1.6
Recreational Therapists,"56,000",1.3
Respiratory Therapists,"77,720",0.6
Speech-Language Pathologists,"93,130",2.5
Exercise Physiologists,"65,630",9.4
"Therapists, All Other","74,490",7.6
Veterinarians,"127,200",4.1
Registered Nurses,"89,400",0.8
Nurse Anesthetists,"185,240",3.7
Nurse Midwives,"108,390",2
Nurse Practitioners,"122,850",2.5
Audiologists,"89,140",2.6
"Health Diagnosing and Treating Practitioners, All Other","83,060",4
Clinical Laboratory Technologists and Technicians,"65,410",1.1
Dental Hygienists,"86,820",1.3
Cardiovascular Technologists and Technicians,"65,140",1.3
Diagnostic Medical Sonographers,"75,800",1.2
Nuclear Medicine Technologists,"90,690",1.6
Radiologic Technologists,"71,410",1.1
Magnetic Resonance Imaging Technologists,"82,870",1.1
Emergency Medical Technicians and Paramedics,"43,430",2.4
Dietetic Technicians,"42,060",1.2
Pharmacy Technicians,"34,450",2
Psychiatric Technicians,"45,150",1.7
Respiratory Therapy Technicians,"63,290",2.3
Surgical Technologists,"56,190",1
Veterinary Technologists and Technicians,"42,440",2.9
Ophthalmic Medical Technicians,"40,990",2.7
Licensed Practical and Licensed Vocational Nurses,"54,180",0.6
Medical Records and Health Information Technicians,"51,180",1.5
"Opticians, Dispensing","57,060",3.5
Orthotists and Prosthetists,"82,800",10
Hearing Aid Specialists,"65,620",4.1
"Health Technologists and Technicians, All Other","52,990",2.3
Occupational Health and Safety Specialists,"80,730",3.2
Occupational Health and Safety Technicians,"63,030",2.7
Athletic Trainers,"54,990",3.1
Genetic Counselors,"82,910",1.3
"Healthcare Practitioners and Technical Workers, All Other","82,210",3
Healthcare Support Occupations,"30,970",1.1
Home Health Aides,"24,280",0.9
Psychiatric Aides,"40,090",1.8
Nursing Assistants,"35,190",0.6
Orderlies,"33,120",1
Occupational Therapy Assistants,"66,210",1.8
Occupational Therapy Aides,"35,470",6
Physical Therapist Assistants,"62,190",1.5
Physical Therapist Aides,"27,630",1.7
Massage Therapists,"56,270",4.5
Dental Assistants,"39,160",3.1
Medical Assistants,"36,630",0.9
Medical Equipment Preparers,"41,770",1.8
Medical Transcriptionists,"43,810",2.8
Pharmacy Aides,"30,450",4.1
Veterinary Assistants and Laboratory Animal Caretakers,"31,280",2.9
Phlebotomists,"40,950",1.2
"Healthcare Support Workers, All Other","37,470",1.7
Protective Service Occupations,"53,210",3.2
First-Line Supervisors of Correctional Officers,"96,390",1.9
First-Line Supervisors of Police and Detectives,"119,580",2
First-Line Supervisors of Fire Fighting and Prevention Workers,"110,780",1.6
"First-Line Supervisors of Protective Service Workers, All Other","64,650",3.8
Firefighters,"75,700",2.4
Fire Inspectors and Investigators,"55,700",2.4
Forest Fire Inspectors and Prevention Specialists,*,*
Bailiffs,"65,360",2.7
Correctional Officers and Jailers,"69,180",1.8
Detectives and Criminal Investigators,"95,160",3.7
Fish and Game Wardens,"62,620",1.5
Parking Enforcement Workers,"40,900",2.5
Police and Sheriff's Patrol Officers,"78,360",2.8
Transit and Railroad Police,"80,710",3.7
Animal Control Workers,"44,630",4.7
Private Detectives and Investigators,"63,120",3
Gaming Surveillance Officers and Gaming Investigators,"38,510",10.9
Security Guards,"33,820",2.3
Crossing Guards,"33,910",1.7
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","26,240",2
"Protective Service Workers, All Other","30,960",2.7
Food Preparation and Serving Related Occupations,"29,000",0.8
Chefs and Head Cooks,"51,090",6.6
First-Line Supervisors of Food Preparation and Serving Workers,"43,060",1.4
"Cooks, Fast Food","23,230",2.3
"Cooks, Institution and Cafeteria","34,930",1
"Cooks, Restaurant","29,960",1.5
"Cooks, Short Order","24,480",2.9
"Cooks, All Other","33,230",5.5
Food Preparation Workers,"25,900",2.4
Bartenders,"33,290",2.3
"Combined Food Preparation and Serving Workers, Including Fast Food","23,400",0.7
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","23,090",1.5
Waiters and Waitresses,"31,190",2
"Food Servers, Nonrestaurant","30,410",1.3
Dining Room and Cafeteria Attendants and Bartender Helpers,"27,060",2.6
Dishwashers,"25,000",1.4
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","26,260",1.6
"Food Preparation and Serving Related Workers, All Other","27,730",2.8
Building and Grounds Cleaning and Maintenance Occupations,"35,540",0.9
First-Line Supervisors of Housekeeping and Janitorial Workers,"54,230",1.6
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","58,350",2.4
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","34,420",1.1
Maids and Housekeeping Cleaners,"34,410",2
"Building Cleaning Workers, All Other","39,890",9.6
Pest Control Workers,"39,710",3.9
